collective_noun,warren,hares
verb_3rd,begin,begins
event,keep,jar
mero,shirt,back
event,make,shovel
event,plant,corn
verb_past,become,became
event,lay,hornet
hyper,creature,trout
mero,penguin,plumage
event,save,elephant
event,fly,pigeon
mero,television,metal
event,sound,clarinet
mero,car,windshield
event,point,revolver
event,tune,flute
event,wash,knife
event,nest,owl
event,buy,bed
event,fix,screwdriver
mero,knife,edge
mero,lizard,blood
hyper,food,parsley
mero,glove,leather
hyper,equipment,phone
event,spot,eagle
prefix$re,enactment,reenactment
event,live,tuna
event,break,stereo
mero,sword,steel
event,buy,sweater
event,come,frigate
event,listen,saxophone
mero,van,rear
event,produce,bomb
event,fill,mug
mero,helicopter,turbine
event,plant,onion
verb_past,recognize,recognized
mero,hotel,concrete
mero,car,engine
event,die,lion
event,stalk,lion
collective_noun,hive,bees
event,lay,beetle
verb_3rd,recognize,recognizes
event,brake,ambulance
mero,jar,pickles
verb_past,play,played
mero,shovel,handle
event,come,ferry
event,chase,frog
hyper,artifact,dress
event,empty,bag
mero,toaster,top
event,acquire,library
mero,car,horn
event,drink,spoon
collective_noun,flight,cormorants
event,grow,strawberry
mero,beet,bulb
event,scoop,shovel
mero,bowl,color
event,eat,restaurant
event,protect,cannon
event,refuel,scooter
event,fuel,battleship
event,hear,piano
event,drink,bottle
event,work,train
event,sit,bus
mero,table,leg
event,fasten,cloak
event,choose,dress
event,eat,owl
collective_noun,shoal,fish
mero,robin,neck
hyper,beast,deer
event,hold,knife
prefix$re,look,relook
hyper,conveyance,jet
event,cost,hotel
mero,bottle,soda
mero,sweater,fabric
verb_past,earn,earned
event,train,dolphin
event,strike,dagger
mero,grape,skin
mero,elephant,tooth
hyper,creature,mackerel
mero,bomber,gas
mero,dagger,end
event,worship,cathedral
mero,sheep,nose
hyper,vertebrate,frog
hyper,vehicle,ambulance
mero,pineapple,core
mero,frog,eye
mero,house,room
mero,house,roof
mero,coat,material
mero,sheep,fleece
mero,carrot,end
noun_singplur,voter,voters
event,button,sweater
event,clean,villa
hyper,produce,cauliflower
mero,crow,plume
collective_noun,float,crocodiles
hyper,food,strawberry
event,butter,corn
mero,trumpet,key
mero,fridge,metal
event,die,missile
event,carry,box
event,ride,bus
hyper,food,radish
event,broadcast,television
event,go,pub
prefix$re,vision,revision
hyper,pest,cockroach
mero,lemon,juice
event,arrive,yacht
mero,pistol,chamber
mero,jet,engine
event,grow,lime
mero,snake,eye
hyper,predator,hawk
event,cover,cloak
event,inhabit,dove
event,recycle,mug
verb_past,move,moved
mero,frigate,gun
mero,car,mirror
mero,table,cover
hyper,fish,goldfish
mero,jar,interior
event,protect,hat
event,eat,goat
mero,picnic,blanket
event,blaze,gun
event,swim,salmon
verb_past,ensure,ensured
